k3_se k5_se k7_se k3_ k5_ k7_ skip
39418.799999999974 46426.18000000028 58497.8999999997 34497.76 42356.839999999356 53534.91999999989 3.8199999998767
20414.859999999637 23446.70000000022 28359.260000000573 17733.280000000206 20727.600000000024 25418.9199999999 16174.639999999841
21177.300000000087 27841.38000000027 39689.82000000025 19383.260000000035 26721.04000000033 34559.42000000008 3.779999999409256
22243.17999999954 27941.380000000037 38096.51999999986 19432.019999999993 26452.119999999726 35767.20000000009 4.9200000006521805
21867.160000000044 29181.000000000524 38578.58000000007 19390.61999999936 26163.56000000053 37081.58000000026 3.8000000003535206
11447.640000000092 14307.739999999569 20552.119999999974 9760.459999999683 13511.299999999694 18766.83999999997 8157.3399999996345
13341.340000000202 20697.29999999979 30219.440000000475 11557.739999999938 18395.43999999975 29342.91999999985 3.239999999493648
12784.200000000112 20655.539999999917 29860.479999999967 11457.199999999546 18386.600000000188 29708.540000000026 3.960000000091668
12904.939999999953 20188.979999999643 30098.18000000024 11611.220000000343 19410.460000000287 29287.39999999976 5.079999999679785
7469.16000000013 11131.420000000247 16226.840000000208 6176.260000000156 10111.999999999454 15652.240000000005 4715.840000000071
9091.699999999748 16910.719999999914 27742.800000000047 8297.779999999477 15193.399999999712 27233.340000000084 3.7399999996523547
9221.560000000296 16187.380000000216 27159.400000000034 8262.700000000223 15625.920000000091 27321.41999999982 4.040000000316013
8936.66000000053 17127.179999999953 28015.71999999979 7811.620000000375 16041.88000000022 26255.279999999457 3.6599999994280097
17247.700000000066 31920.720000000103 52735.06000000054 15773.659999999978 27988.159999999596 49205.2600000001 8379.819999999681
25704.939999999966 55727.02000000049 93628.92000000045 25710.080000000347 50903.599999999475 95640.23999999947 5.240000000128475
24763.3399999998 52735.54000000047 96854.8400000003 24583.90000000037 49956.059999999525 91449.07999999958 4.2800000002785055
25959.25999999906 49781.44000000099 94424.11999999934 24876.7799999996 52636.59999999959 94623.81999999963 3.379999999708616
15471.82000000049 30837.680000000488 55323.74000000004 14331.89999999911 30347.99999999933 51695.36000000079 6250.599999999907
23852.01999999964 52297.579999999754 97926.93999999927 21277.240000000576 50005.64000000054 94619.21999999987 4.76000000020349
23354.160000000946 49812.55999999945 94152.43999999916 22327.280000000374 48986.920000000115 95643.33999999946 4.440000000727196
23262.58000000081 52666.419999999904 95674.4399999991 23221.460000000603 49631.3200000003 96042.42000000055 3.860000001054687
22413.140000000454 49453.57999999942 90680.52000000079 22553.879999999535 47941.01999999896 92639.97999999986 5.300000000829641
